"event","trial","time"
"blur","0","853"
"focus","1","41650"
"fullscreenenter","2","43763"
"blur","267","2147197"
"focus","267","2147199"
"blur","471","2456972"
"focus","471","2462420"
"blur","472","2462957"
"focus","473","2479230"
"blur","474","2491130"
"focus","475","2503769"
"blur","476","2533472"
"focus","477","2548067"
"blur","478","2563097"
"focus","479","2573951"
"blur","479","2592668"
"focus","479","2595110"
"blur","480","2595657"
"focus","481","2610023"
"blur","481","2618778"
"focus","481","2621261"
"blur","482","2621917"
"focus","483","2636796"
"blur","483","2651837"
"focus","483","2656775"
"blur","484","2657499"
"focus","485","2671669"
"blur","485","2687894"
"focus","485","2697811"
"blur","486","2698310"
"focus","487","2712968"
"blur","487","2722900"
"focus","487","2725474"
"blur","488","2726423"
"focus","489","2741034"
"blur","489","2752151"
"focus","489","2765897"
"blur","490","2766536"
"focus","491","2781599"
"blur","492","2791549"
"focus","493","2806117"
"blur","494","2815787"
"focus","495","2829758"
"blur","495","2838795"
"focus","495","2841332"
"blur","506","2953216"
"focus","507","2963608"
"blur","508","2974455"
"focus","509","2987822"
"blur","510","3000264"
"focus","511","3014432"
"blur","512","3026344"
"focus","513","3039848"
"blur","514","3046512"
"focus","515","3060638"
"blur","516","3076004"
"focus","517","3089099"
"blur","518","3098040"
"focus","519","3111951"
"blur","519","3120099"
"focus","519","3127442"
"blur","1128","3623600"
"focus","1128","3624851"
"blur","1329","3769308"
"focus","1329","3780608"
