"","worker_id","VerbalScored","VisualScored"
"1","A1O4Q0QVPVBF8M",5,4.4
"2","AKR9067Q09RZS",5,4.8
"3","AFFXVHHBUWW4D",5,5
"4","ASXSWSXQNVN42",5,1.1
"5","A24FAL69IKL8RA",5,4.7
"6","A2MOKIEQZ0OF2M",4.92,5
"7","A2INXY39KBM92F",4.92,4.7
"8","A3SS0C4IVTSIFL",4.92,4.8
"9","A2PWUACCQI97J8",4.92,4.8
"10","ATU582WJWMEL2",4.83,3.6
"11","AU34T9OMHN4Z4",4.83,4.2
"12","A304UJAE051J89",4.75,5
"13","A89HSG51VTPP0",4.75,4.8
"14","A26UIS59SY4NM6",4.75,4.5
"15","A1M64R8HPYNNZA",4.75,4.4
"16","A15XIKX3PI7SLK",4.75,3.6
"17","A2WJMGV0HKQG3Z",4.67,4.7
"18","A3MXI2O3JZ0TZH",4.67,5
"19","A2WDF40FA670T9",4.67,4.6
"20","AD1FDB9A61LMS",4.67,4
"21","A2VIKCIM9TZL22",5,2.9
"22","A1RKGN3VY39TM1",4.92,1.6
"23","A1CB72B51L7TKE",4.67,4.3
"24","A337X6ZE9WIIU7",4.67,2.9
"25","A1F9KLZGHE9DTA",5,4
"26","A1LRJ4U04532TM",4.83,4.2
"27","A1JJYY622DGE5L",4.67,4.4
"28","A2PUL3ZDXOW0VZ",4.67,4.2
"29","AROOCBM042SJD",4.67,4
"30","A3I40B0FATY8VH",4.75,4.5
"31","ARRDHASPCGP4L",4.92,4.4
"32","A1F9KLZGHE9DTA",5,4
"33","A1JJYY622DGE5L",4.67,4.4
"34","A1LRJ4U04532TM",4.83,4.2
"35","A1WH32GYQOHIRQ",4.58,1.9
"36","A2PUL3ZDXOW0VZ",4.67,4.2
"37","AURYD2FH3FUOQ",1,1
"38","ADY44EV3GCW85",1,4
"39","AKVDK30EEV08C",1.08,2.4
"40","A15T9HDPHV3X7Q",1.33,1.9
"41","A4BDXOXC4D8FX",1.33,3.8
"42","A4BDXOXC4D8FX",1.33,3.8
"43","A26RO8GGTQAXGG",1.42,2.7
"44","A35CHBMYRAXDNZ",1.5,1.4
"45","A35CHBMYRAXDNZ",1.5,1.4
"46","AV22FQTJNBUZT",1.58,3.3
"47","AV22FQTJNBUZT",1.58,3.3
"48","A2H2LO1OOF8R5N",1.67,3.3
"49","A3FNC8ELMK8YJA",1.75,1.6
"50","A3F90N8YVKJ4I7",1.75,2.9
"51","AMNUNZ65OSTFO",1.75,3.9
"52","A2QTL039A5VV3I",1.83,1.3
"53","A2YB18JHC2C7GF",1.83,1.4
"54","A2QTL039A5VV3I",1.83,1.3
"55","A3KVKK1XLBTSN3",1.92,2.6
"56","A9LSEP71DNP4O",1.92,4.4
"57","A2T675UCHNTSSW",2,3.3
"58","A1ACXKVOUQ19DX",2,3.5
"59","A2T675UCHNTSSW",2,3.3
"60","A1ACXKVOUQ19DX",2,3.5
"61","A1BM57TUNAQIXM",2.17,3.6
"62","A8C3WNWRBWUXO",2.17,2.7
"63","A1UBV2NP7OVDVV",2.17,3.2
"64","A5P12YJP805RG",2.17,2.6
"65","A3N0QZ9ZKUCTCQ",2.17,2
"66","AJF954955YWZG",2.17,3.9
"67","A1UBV2NP7OVDVV",2.17,3.2
"68","A3N0QZ9ZKUCTCQ",2.17,2
"69","A1DUPOUC9RNU4L",2.25,3.7
"70","A2M183CETUMR96",2.25,1.8
"71","A3H7WFRISBGM1K",2.33,2.9
"72","A26BQ33MHKVYFB",2.33,2.5
"73","A2OVWCQ4B9AHFY",2.42,4.6
"74","A1P2RQ166VS5BT",2.42,3.5
"75","A37JC45Y9GLSA7",2.42,2.9
"76","A2R93OEJ9TOWV6",2.42,2.3
"77","A1KOBLL83SICGQ",2.42,3.8
"78","A2MMWPTR6X2PL6",2.5,3
"79","A1XKXYY27WP8EX",2.5,3.4
"80","A3JC9VPPTHNKVL",2.5,2.7
"81","A289D98Z4GAZ28",2.5,3
"82","A1Q56N80RJLQ7S",2.5,2.5
"83","A3PLWSCPFLCEGI",2.5,2.7
"84","A12HZGOZQD5YK7",2.58,3.8
"85","A2NAKIXS3DVGAA",2.58,2.9
"86","A22SPPYNJ5CDZT",2.58,2.3
"87","A2WX434EAQOE29",2.58,4.6
"88","A2OVOVZBJYUO",2.58,3.5
"89","A3DUPRZSMU9W5R",2.58,2.4
"90","A2615YW1YERQBO",2.58,3.7
"91","A1PUSSRD8P5HHH",2.67,3
"92","A3HNEYFOIJWPH1",2.67,3.1
"93","A6KB4VHCZYTY2",2.67,2.9
"94","AONESW9PHZCHO",2.67,2.9
"95","A1NMKXK04PZ6KK",2.67,4
"96","A5Q5LI20O3G60",2.67,3.2
"97","A2SKY4RRWII0BF",2.83,3.8
"98","A2683ZVNWI119A",2.83,3.2
"99","A2AAFWAAS9C1QC",3.17,4.1
"100","A10JXOU89D5RXR",3.25,4.4
"101","A1CFMY4CEYOM8Y",2.92,4.2
"102","A2SKY4RRWII0BF",2.83,3.8
"103","AJF954955YWZG",2.17,3.9
"104","AMNUNZ65OSTFO",1.75,3.9
